Column name;Relevant?;Type;Constraints/Rules;;;
Date;Yes;Date;Only data in the format YYYY-MM-DD.;;;
Address;No;—;—;;;
State;Yes;String;Existing state name not abbreviated.;;;
County;Yes;String;Existing county name.;;;
City;Yes;String;Existing city name.;;;
O3 Mean;No;—;—;;;
O3 1st Max Value;No;—;—;;;
O3 1st Max Hour;No;—;—;;;
O3 AQI;Yes;Integer;Positive integers only.;;;
CO Mean;No;—;—;;;
CO 1st Max Value;No;—;—;;;
CO 1st Max Hour;No;—;—;;;
CO AQI;Yes;Integer;Positive integers only.;;;
SO2 Mean;No;—;—;;;
SO2 1st Max Value;No;—;—;;;
SO2 1st Max Hour;No;—;—;;;
SO2 AQI;Yes;Integer;Positive integers only.;;;
NO2 Mean;No;—;—;;;
NO2 1st Max Value;No;—;—;;;
NO2 1st Max Hour;No;—;—;;;
NO2 AQI;Yes;Integer;Positive integers only.;;;
