Column name;Relevant?;Type;Constraints/Rules;;;
index;No;—;—;;;
date;Yes;Date;Only dates in the format YYYY-MM-DD.;;;
season;Yes;Integer;Years from 1947 to 2018;;;
neutral;No;—;—;;;
playoff;Yes;String;Only the following values: nan, 't', 'q', 's', 'c', ‘f'.;;;
team1;Yes;String;Only 102 abbreviations of team names.;;;
team2;Yes;String;Only 102 abbreviations of team names.;;;
elo1_pre;No;—;—;;;
elo2_pre;No;—;—;;;
elo_prob1;No;—;—;;;
elo_prob2;No;—;—;;;
elo1_post;No;—;—;;;
elo2_post;No;—;—;;;
carmelo1_pre;No;—;—;;;
carmelo2_pre;No;—;—;;;
carmelo1_post;No;—;—;;;
carmelo2_post;No;—;—;;;
carmelo_prob1;No;—;—;;;
carmelo_prob2;No;—;—;;;
score1;Yes;Integer;Positive integers only.;;;
score2;Yes;Integer;Positive integers only.;;;
