Column name;Relevant?;Type;Constraints/Rules;;;
ID;No;—;—;;;
Source;No;—;—;;;
Severity;Yes;Integer;Integers with value 1,2,3 or 4 only.;;;
Start_Time;Yes;Date;Only data in the format YYYY-MM-DD HH:MM:SS.;;;
End_Time;No;—;—;;;
Start_Lat;No;—;—;;;
Start_Lng;No;—;—;;;
End_Lat;No;—;—;;;
End_Lng;No;—;—;;;
Distance(mi);No;—;—;;;
Description;No;—;—;;;
Street;No;—;—;;;
City;Yes;String;None.;;;
County;No;—;—;;;
State;Yes;String;Only abbreviations of state names.;;;
Zipcode;No;—;—;;;
Country;No;—;—;;;
Timezone;No;—;—;;;
Airport_Code;No;—;—;;;
Weather_Timestamp;No;—;—;;;
Temperature(F);No;—;—;;;
Wind_Chill(F);No;—;—;;;
Humidity(%);No;—;—;;;
Pressure(in);No;—;—;;;
Visibility(mi);No;—;—;;;
Wind_Direction;No;—;—;;;
Wind_Speed(mph);No;—;—;;;
Precipitation(in);No;—;—;;;
Weather_Condition;No;—;—;;;
Amenity;Yes;Boolean;None.;;;
Bump;Yes;Boolean;None.;;;
Crossing;Yes;Boolean;None.;;;
Give_Way;Yes;Boolean;None.;;;
Junction;Yes;Boolean;None.;;;
No_Exit;Yes;Boolean;None.;;;
Railway;Yes;Boolean;None.;;;
Roundabout;Yes;Boolean;None.;;;
Station;Yes;Boolean;None.;;;
Stop;Yes;Boolean;None.;;;
Traffic_Calming;Yes;Boolean;None.;;;
Traffic_Signal;Yes;Boolean;None.;;;
Turning_Loop;No;—;—;;;
Sunrise_Sunset;No;—;—;;;
Civil_Twilight;No;—;—;;;
Astronomical_Twilight;No;—;—;;;
